gene,ensembl_id,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_detected_cells,CTRL_Young_detection_percentage
CLIC4,ENSG00000169504,677,55.950413223140494,322,70.45951859956236,984,74.65857359635811
SYF2,ENSG00000117614,875,72.31404958677686,360,78.7746170678337,991,75.18968133535661
TMEM50A,ENSG00000183726,773,63.88429752066116,354,77.4617067833698,1059,80.34901365705615
STMN1,ENSG00000117632,1180,97.52066115702479,457,100.0,1318,100.0
SH3BGRL3,ENSG00000142669,1010,83.47107438016529,440,96.2800875273523,1234,93.62670713201821
HMGN2,ENSG00000198830,1132,93.55371900826445,430,94.09190371991247,1184,89.83308042488619
NUDC,ENSG00000090273,995,82.23140495867769,349,76.36761487964989,1126,85.43247344461305
DNAJC8,ENSG00000126698,1039,85.86776859504133,386,84.46389496717724,1099,83.38391502276176
ATP5IF1,ENSG00000130770,1129,93.30578512396694,407,89.05908096280088,1244,94.38543247344461
PHACTR4,ENSG00000204138,1046,86.44628099173553,416,91.02844638949672,1160,88.01213960546282
YTHDF2,ENSG00000198492,996,82.31404958677686,399,87.30853391684902,1168,88.61911987860395
EPB41,ENSG00000159023,658,54.3801652892562,202,44.201312910284464,713,54.09711684370257
SRSF4,ENSG00000116350,1126,93.05785123966942,406,88.8402625820569,1155,87.63277693474963
PUM1,ENSG00000134644,1139,94.13223140495867,441,96.49890590809628,1271,96.4339908952959
SNRNP40,ENSG00000060688,699,57.768595041322314,204,44.63894967177243,679,51.517450682852804
ZCCHC17,ENSG00000121766,956,79.00826446280992,277,60.61269146608315,1016,77.08649468892261
PTP4A2,ENSG00000184007,897,74.13223140495869,306,66.95842450765865,1014,76.93474962063733
KHDRBS1,ENSG00000121774,1180,97.52066115702479,452,98.90590809628009,1308,99.2412746585736
